id_video,id_komentar,text_original,author_name,id_author,like_count,published_at
b0yw06rMBAY,UgxHA5svGy9g6E2NfaN4AaABAg,Mantep bang brando game nya,@FauzanDisinii,UC0uWc7qYhdjTY8JZgx6G6fw,1,2025-06-27T03:28:39Z
b0yw06rMBAY,UgwIIwPtQfZsUDTJ5D94AaABAg,"Bang plis lah!!! Sebagai yutuber dengan jutaan subskreber, dan ribuan penonton saat live, janganlah kamu mencontohkan hal tidak baik seperti JUDI dan MEROKOK!!! Kamu punya tanggung jawab terhadap penonton kamu bang! Plis stop mencontohkan hal buruk kepada penonton kamu!",@ayamjagokukuruyuuukk,UCd_lV4rc0EmkzysBFiH_JOg,0,2025-06-27T03:27:08Z
b0yw06rMBAY,Ugza7BNA9zCp5tARRPl4AaABAg,Jangan bang marah marah,@benff3510,UCsYEiRbsmHWSju-yfTJs5NA,0,2025-06-27T03:26:39Z
b0yw06rMBAY,UgyyIxnWSfvGqjMfvKF4AaABAg,"Gw g pernah seneng winda maen horor2 an ,tp kali ini beda, keren bgt! Well played & W developer 🔥",,UCDP1LCugL8NhOa-9-lVVQEw,0,2025-06-27T03:26:27Z
b0yw06rMBAY,UgxTIavskLO-jRy7bp94AaABAg,Kok sama Ama kehidupan ku ya?,@Rey_lambert,UCXMy4Z-iH6iSanEIMoM-K6A,0,2025-06-27T03:25:27Z
b0yw06rMBAY,Ugz5EdbIOqVYjpSdzzx4AaABAg,Beni B nya apa adik adik,@Nanao-73,UCc2vf0D2QwwH2fllxvuTquQ,0,2025-06-27T03:25:18Z
b0yw06rMBAY,Ugya0lXig-k30Or1WL94AaABAg,"GOTY 2025, W Game Indo, Game Indo Never Fail",@zuu9199,UCHN9803gHDlEn8oiizrYJQg,0,2025-06-27T03:23:42Z
b0yw06rMBAY,UgxrCl-nlLlQ_8WTpOJ4AaABAg,2:11:51 Puas banget lihat beni ditusuk oleh istrinya MAMPUS 😈😈🔪🔪,@Rauliasi,UC-UjxbKUayR61MftpEwhPOA,1,2025-06-27T03:23:29Z
b0yw06rMBAY,UgztOYQH7jniwSQvV2h4AaABAg,Sunda average,@Rafly_Guerrero,UCLCDWeewV3BEY9bLQusI2Vg,0,2025-06-27T03:23:12Z
b0yw06rMBAY,UgwOxlSeiIbQ4ckGdod4AaABAg,banyak pilihannya di game ini bang droomp harus jelasin si sampe lengkap @droomp,@NEXTRON12,UCYJUhyZsBQ0ZQxMG14tAplQ,0,2025-06-27T03:23:12Z
